depth	peaks_called	group
582569	88684	sample_01
1511585	64624	sample_01
2208087	29080	sample_01
4050951	71678	sample_01
4396705	18342	sample_01
4623159	95811	sample_01
4744773	75847	sample_01
4855156	76525	sample_01
4864265	62953	sample_01
8220454	32850	sample_01
8539645	62993	sample_01
8716205	54354	sample_01
11181482	25957	sample_01
13599019	13363	sample_01
14313536	13704	sample_01
14878538	87374	sample_01
15179183	57498	sample_01
15464023	47438	sample_01
15542738	56519	sample_01
16072220	54883	sample_01
16736664	62213	sample_01
17887649	96561	sample_01
18788292	8100	sample_01
21018926	89259	sample_01
22274680	86649	sample_01
22788538	85696	sample_01
25159825	13899	sample_01
26875919	8944	sample_01
28496306	53772	sample_01
29500398	96448	sample_01
30398722	45473	sample_01
31995660	15322	sample_01
34604433	33591	sample_01
34833926	26112	sample_01
35511588	25931	sample_01
35849305	71292	sample_01
36291547	59800	sample_01
36996694	19373	sample_01
37273044	56296	sample_01
39580729	25050	sample_01
39589547	37509	sample_01
40807828	61637	sample_01
42452602	33742	sample_01
43712578	10880	sample_01
44375128	59082	sample_01
45176148	73132	sample_01
46396233	13833	sample_01
47602401	7630	sample_01
47945195	86477	sample_01
49084844	71855	sample_01
