cell	umap_1	umap_2	batch
cell_0000	6.821872	4.029832	batch_a
cell_0001	5.579132	-6.83931	batch_b
cell_0002	-5.339022	-0.667432	batch_a
cell_0003	-0.229742	7.975271	batch_b
cell_0004	-4.580043	7.937543	batch_a
cell_0005	-1.583355	-6.827828	batch_a
cell_0006	-7.061834	-4.589531	batch_b
cell_0007	-1.93643	-3.756793	batch_b
cell_0008	7.764942	6.93215	batch_a
cell_0009	-3.756751	6.093827	batch_b
cell_0010	4.54513	6.068324	batch_a
cell_0011	-0.719866	-2.087567	batch_a
cell_0012	-1.23188	-5.476051	batch_a
cell_0013	7.317082	5.339919	batch_b
cell_0014	7.926763	3.256639	batch_b
cell_0015	0.892293	1.786844	batch_a
cell_0016	3.494532	7.795729	batch_a
cell_0017	-5.523251	2.463621	batch_a
cell_0018	-3.252675	-7.87483	batch_a
cell_0019	7.49935	5.073666	batch_b
cell_0020	1.266885	-3.20994	batch_a
cell_0021	0.675123	2.614219	batch_a
cell_0022	3.967609	7.02288	batch_b
cell_0023	-7.085356	-5.851342	batch_b
cell_0024	1.346842	-6.153141	batch_a
cell_0025	0.045606	-6.287424	batch_b
cell_0026	5.643518	0.851578	batch_a
cell_0027	-5.481076	-3.642429	batch_a
cell_0028	7.372462	1.677277	batch_b
cell_0029	-6.718217	3.481795	batch_a
cell_0030	-5.026801	-4.742443	batch_b
cell_0031	1.520562	2.147807	batch_a
cell_0032	2.803401	-3.776258	batch_a
cell_0033	-4.236738	-0.18349	batch_b
cell_0034	-6.081814	6.485384	batch_b
cell_0035	6.244597	5.537659	batch_b
cell_0036	-4.060554	-6.523225	batch_a
cell_0037	1.512306	-1.222788	batch_a
cell_0038	1.910104	-3.573116	batch_a
cell_0039	-1.292401	-7.943269	batch_a
cell_0040	1.338757	4.337908	batch_b
cell_0041	0.364523	2.193814	batch_b
cell_0042	6.9553	-3.808716	batch_b
cell_0043	-4.731853	3.859695	batch_a
cell_0044	3.459069	0.826887	batch_b
cell_0045	-4.181025	-1.157009	batch_b
cell_0046	-1.667426	-7.845285	batch_b
cell_0047	2.747044	-6.796098	batch_b
cell_0048	-3.200047	6.129702	batch_a
cell_0049	-2.941165	6.462857	batch_a
