loop_id	start	end	log2fc	pvalue
loop_0	0	50000	1.1208	6.2e-07
loop_1	10000	60000	1.2089	0.02982143
loop_2	20000	70000	1.6872	1.17e-06
loop_3	30000	80000	-1.5676	1.4e-07
loop_4	40000	90000	2.7741	4.81e-06
loop_5	50000	100000	0.5088	0.11039735
loop_6	60000	110000	0.9592	5.9e-07
loop_7	70000	120000	-2.9961	0.60995616
loop_8	80000	130000	-0.1236	0.00699354
loop_9	90000	140000	0.308	0.00028509
loop_10	100000	150000	-1.195	0.0
loop_11	110000	160000	0.7797	0.3562558
loop_12	120000	170000	0.5332	0.0
loop_13	130000	180000	-0.8241	0.36057909
loop_14	140000	190000	2.7307	1.9e-07
loop_15	150000	200000	-0.9433	0.0
loop_16	160000	210000	2.6361	0.0232215
loop_17	170000	220000	3.8255	0.0
loop_18	180000	230000	-0.813	0.10312705
loop_19	190000	240000	3.0193	0.0
loop_20	200000	250000	-1.9795	0.0
loop_21	210000	260000	1.1625	0.04190216
loop_22	220000	270000	-2.176	0.4004721
loop_23	230000	280000	0.3837	0.0
loop_24	240000	290000	0.7995	0.00545884
loop_25	250000	300000	1.026	4e-08
loop_26	260000	310000	-2.6875	0.000148
loop_27	270000	320000	-1.9365	8.6e-07
loop_28	280000	330000	0.4977	0.0
loop_29	290000	340000	0.5755	1.8e-07
loop_30	300000	350000	0.5575	0.00047439
loop_31	310000	360000	-3.8865	1.918e-05
loop_32	320000	370000	-1.8844	0.27924279
loop_33	330000	380000	2.9745	0.00016044
loop_34	340000	390000	-0.0154	0.061044
loop_35	350000	400000	0.1425	6.77e-06
loop_36	360000	410000	-0.5715	2.27e-05
loop_37	370000	420000	-3.7695	0.00012967
loop_38	380000	430000	-2.5749	2e-08
loop_39	390000	440000	-1.4139	0.00059642
loop_40	400000	450000	1.4413	7e-08
loop_41	410000	460000	-1.6295	2e-08
loop_42	420000	470000	-1.7894	0.0
loop_43	430000	480000	0.1766	0.48477868
loop_44	440000	490000	0.1573	0.00337023
loop_45	450000	500000	-1.94	0.00093008
loop_46	460000	510000	3.683	0.0
loop_47	470000	520000	-1.6531	0.0
loop_48	480000	530000	1.4667	9e-08
loop_49	490000	540000	-0.178	0.0
