loop_id	start	end	log2fc	pvalue
loop_0	0	50000	-1.3207	0.00042231
loop_1	10000	60000	0.1884	1e-08
loop_2	20000	70000	1.7154	0.0
loop_3	30000	80000	-0.3957	1.6e-07
loop_4	40000	90000	-2.6579	3e-08
loop_5	50000	100000	-3.4667	4e-08
loop_6	60000	110000	2.2112	2e-08
loop_7	70000	120000	1.3928	0.00289862
loop_8	80000	130000	-3.1273	0.27857667
loop_9	90000	140000	-0.7022	1e-07
loop_10	100000	150000	4.0767	0.00143396
loop_11	110000	160000	-1.7136	0.0
loop_12	120000	170000	1.8766	0.00029612
loop_13	130000	180000	3.6867	0.00072179
loop_14	140000	190000	2.019	0.0
loop_15	150000	200000	4.0116	0.0
loop_16	160000	210000	2.0113	1.1e-07
loop_17	170000	220000	-0.0357	1.03e-06
loop_18	180000	230000	-4.6956	9.44e-06
loop_19	190000	240000	0.1362	0.07272301
loop_20	200000	250000	4.4358	0.00092303
loop_21	210000	260000	-1.0758	1.2e-07
loop_22	220000	270000	0.1951	0.0
loop_23	230000	280000	-0.1909	0.11740614
loop_24	240000	290000	-0.8673	8e-08
loop_25	250000	300000	-0.3947	0.00012156
loop_26	260000	310000	1.6274	1e-08
loop_27	270000	320000	-0.1746	0.0
loop_28	280000	330000	2.4981	0.0
loop_29	290000	340000	-0.1714	0.00252682
loop_30	300000	350000	-4.7207	9.927e-05
loop_31	310000	360000	0.1807	1.31e-06
loop_32	320000	370000	1.3329	2.738e-05
loop_33	330000	380000	-1.8091	4.58e-06
loop_34	340000	390000	0.3438	2.096e-05
loop_35	350000	400000	0.9154	0.00037544
loop_36	360000	410000	1.1583	1e-08
loop_37	370000	420000	1.8899	3e-08
loop_38	380000	430000	-0.0586	0.0029643
loop_39	390000	440000	1.2825	0.04405925
loop_40	400000	450000	-0.2971	0.0
loop_41	410000	460000	-3.5251	2.65e-06
loop_42	420000	470000	-3.0649	0.00092744
loop_43	430000	480000	-1.3904	0.0
loop_44	440000	490000	1.7771	3.848e-05
loop_45	450000	500000	3.5148	0.0
loop_46	460000	510000	2.9894	2.641e-05
loop_47	470000	520000	-2.258	1.01e-05
loop_48	480000	530000	-0.848	4.675e-05
loop_49	490000	540000	-0.0817	0.0
