sample	taxon	abundance
sample_00	Species_0	0.316288
sample_00	Species_1	0.143812
sample_00	Species_2	0.358201
sample_00	Species_3	0.214762
sample_00	Species_4	0.255272
sample_01	Species_0	0.033993
sample_01	Species_1	0.307582
sample_01	Species_2	0.263041
sample_01	Species_3	0.142004
sample_01	Species_4	0.2588
sample_02	Species_0	0.017719
sample_02	Species_1	0.393443
sample_02	Species_2	0.270989
sample_02	Species_3	0.159847
sample_02	Species_4	0.301073
sample_03	Species_0	0.386287
sample_03	Species_1	0.172182
sample_03	Species_2	0.004219
sample_03	Species_3	0.103495
sample_03	Species_4	0.20427
sample_04	Species_0	0.207519
sample_04	Species_1	0.232207
sample_04	Species_2	0.230094
sample_04	Species_3	0.178311
sample_04	Species_4	0.156454
sample_05	Species_0	0.308937
sample_05	Species_1	0.235436
sample_05	Species_2	0.200186
sample_05	Species_3	0.137987
sample_05	Species_4	0.009825
sample_06	Species_0	0.04182
sample_06	Species_1	0.16639
sample_06	Species_2	0.384691
sample_06	Species_3	0.046428
sample_06	Species_4	0.37627
sample_07	Species_0	0.05667
sample_07	Species_1	0.124756
sample_07	Species_2	0.182133
sample_07	Species_3	0.082747
sample_07	Species_4	0.19317
sample_08	Species_0	0.190465
sample_08	Species_1	0.175266
sample_08	Species_2	0.278705
sample_08	Species_3	0.127564
sample_08	Species_4	0.120106
sample_09	Species_0	0.324074
sample_09	Species_1	0.046034
sample_09	Species_2	0.339672
sample_09	Species_3	0.259188
sample_09	Species_4	0.270856
