enhancer	rna_count	dna_count	activity_score	pvalue
ENH_00000	681	141	1.316018	0.0
ENH_00001	926	392	3.044895	1.7e-07
ENH_00002	665	793	3.63378	6.393e-05
ENH_00003	170	833	1.496112	0.00359682
ENH_00004	54	772	4.712268	0.00027128
ENH_00005	406	896	0.23144	0.00023293
ENH_00006	641	137	4.250643	1.2e-07
ENH_00007	313	657	4.391553	2.14e-06
ENH_00008	744	694	1.106684	0.27474954
ENH_00009	717	147	3.073942	2e-08
ENH_00010	774	71	1.024368	3e-08
ENH_00011	240	544	2.01958	0.14249997
ENH_00012	440	577	3.266232	0.0
ENH_00013	672	9	3.940628	0.00011528
ENH_00014	94	625	3.989512	0.0
ENH_00015	721	666	1.272771	0.00039281
ENH_00016	98	169	1.990839	0.00032713
ENH_00017	2	451	1.281301	1e-08
ENH_00018	219	360	3.226603	0.0
ENH_00019	489	740	0.447959	0.0
ENH_00020	80	219	4.45475	0.0
ENH_00021	136	644	0.159128	8.21e-06
ENH_00022	608	767	1.869381	2.7e-07
ENH_00023	232	156	1.650716	1.32e-05
ENH_00024	532	942	1.995507	0.0138937
ENH_00025	697	422	4.210969	4e-08
ENH_00026	456	631	2.162231	4.8e-07
ENH_00027	10	704	2.777145	0.0026472
ENH_00028	9	454	0.946575	0.04438687
ENH_00029	713	881	2.407972	0.00180329
ENH_00030	352	223	4.938095	0.0
ENH_00031	837	89	0.45766	0.08109322
ENH_00032	124	919	2.978081	2.1e-07
ENH_00033	881	103	0.167588	1.78e-06
ENH_00034	433	144	1.15714	1.535e-05
ENH_00035	711	771	4.620639	4e-08
ENH_00036	136	127	4.748532	0.4497807
ENH_00037	490	604	2.050078	0.00016315
ENH_00038	73	748	1.50379	8.16e-06
ENH_00039	235	394	3.591882	1.14e-05
ENH_00040	393	360	3.858839	0.0
ENH_00041	92	987	2.175519	0.03218562
ENH_00042	749	440	2.071159	0.0
ENH_00043	826	323	3.238633	0.0
ENH_00044	105	811	2.734511	0.00452852
ENH_00045	106	144	0.848134	0.07132756
ENH_00046	321	254	0.509626	0.00047184
ENH_00047	377	284	0.487206	0.0
ENH_00048	903	661	4.612532	0.00215636
ENH_00049	307	87	4.874136	0.0
