peptide	allele	rank	binder
PEPTIDE000	HLA-B*07:02	0.237414	0
PEPTIDE001	HLA-A*02:01	0.994747	0
PEPTIDE002	HLA-B*07:02	1.306746	0
PEPTIDE003	HLA-B*07:02	0.205287	0
PEPTIDE004	HLA-A*02:01	0.824677	0
PEPTIDE005	HLA-A*02:01	1.114262	1
PEPTIDE006	HLA-B*07:02	0.000339	0
PEPTIDE007	HLA-B*07:02	0.181791	0
PEPTIDE008	HLA-A*02:01	1.208407	1
PEPTIDE009	HLA-B*07:02	1.238132	0
PEPTIDE010	HLA-B*07:02	0.609196	0
PEPTIDE011	HLA-A*02:01	1.016675	0
PEPTIDE012	HLA-A*02:01	0.413702	0
PEPTIDE013	HLA-B*07:02	1.342949	0
PEPTIDE014	HLA-B*07:02	1.90071	1
PEPTIDE015	HLA-A*02:01	0.726685	0
PEPTIDE016	HLA-A*02:01	0.10855	0
PEPTIDE017	HLA-B*07:02	0.445836	1
PEPTIDE018	HLA-A*02:01	0.90892	0
PEPTIDE019	HLA-B*07:02	1.120302	0
PEPTIDE020	HLA-A*02:01	1.239516	0
PEPTIDE021	HLA-B*07:02	0.946267	0
PEPTIDE022	HLA-B*07:02	1.314334	0
PEPTIDE023	HLA-B*07:02	1.431827	0
PEPTIDE024	HLA-A*02:01	0.228047	0
PEPTIDE025	HLA-A*02:01	1.51864	0
PEPTIDE026	HLA-A*02:01	0.443494	0
PEPTIDE027	HLA-A*02:01	0.682714	0
PEPTIDE028	HLA-B*07:02	1.659768	0
PEPTIDE029	HLA-B*07:02	1.928867	0
PEPTIDE030	HLA-A*02:01	0.583967	1
PEPTIDE031	HLA-A*02:01	1.04397	0
PEPTIDE032	HLA-B*07:02	1.404192	0
PEPTIDE033	HLA-B*07:02	0.091556	0
PEPTIDE034	HLA-A*02:01	0.328311	0
PEPTIDE035	HLA-B*07:02	0.280898	0
PEPTIDE036	HLA-B*07:02	1.433712	0
PEPTIDE037	HLA-A*02:01	1.443118	0
PEPTIDE038	HLA-A*02:01	0.213923	0
PEPTIDE039	HLA-B*07:02	1.221704	0
PEPTIDE040	HLA-B*07:02	0.375087	1
PEPTIDE041	HLA-A*02:01	1.860433	0
PEPTIDE042	HLA-A*02:01	0.785793	0
PEPTIDE043	HLA-B*07:02	0.914092	0
PEPTIDE044	HLA-B*07:02	1.562841	0
PEPTIDE045	HLA-B*07:02	1.433576	0
PEPTIDE046	HLA-A*02:01	0.215531	0
PEPTIDE047	HLA-B*07:02	0.828941	0
PEPTIDE048	HLA-B*07:02	1.853253	0
PEPTIDE049	HLA-B*07:02	1.674932	0
