peptide	length	score
PEPTIDE000	10	46.505796
PEPTIDE001	14	22.624228
PEPTIDE002	10	26.856199
PEPTIDE003	8	6.163937
PEPTIDE004	9	75.223514
PEPTIDE005	13	66.746846
PEPTIDE006	11	8.570731
PEPTIDE007	11	34.379139
PEPTIDE008	14	54.144901
PEPTIDE009	12	97.070554
PEPTIDE010	12	58.972644
PEPTIDE011	12	55.360191
PEPTIDE012	11	84.079717
PEPTIDE013	9	81.840521
PEPTIDE014	8	41.863207
PEPTIDE015	14	53.551441
PEPTIDE016	15	86.689401
PEPTIDE017	10	47.482439
PEPTIDE018	8	88.165387
PEPTIDE019	13	47.626228
PEPTIDE020	8	7.895505
PEPTIDE021	14	90.27772
PEPTIDE022	9	71.43057
PEPTIDE023	12	50.210147
PEPTIDE024	15	90.045506
PEPTIDE025	11	80.045034
PEPTIDE026	9	67.753489
PEPTIDE027	8	62.027311
PEPTIDE028	11	12.028187
PEPTIDE029	10	75.718876
PEPTIDE030	12	17.287897
PEPTIDE031	9	98.436799
PEPTIDE032	15	97.216488
PEPTIDE033	9	80.846072
PEPTIDE034	12	12.6186
PEPTIDE035	14	42.33749
PEPTIDE036	15	98.827994
PEPTIDE037	15	43.539325
PEPTIDE038	12	99.726923
PEPTIDE039	9	62.722621
PEPTIDE040	14	83.410812
PEPTIDE041	10	25.788636
PEPTIDE042	13	91.080449
PEPTIDE043	14	91.417394
PEPTIDE044	13	6.701195
PEPTIDE045	10	38.809915
PEPTIDE046	15	39.735499
PEPTIDE047	8	32.612681
PEPTIDE048	12	27.620082
PEPTIDE049	15	45.815718
