cell	comp1	comp2	group
cell_0000	-0.698697	-2.370515	B
cell_0001	0.532024	1.312597	A
cell_0002	-1.997879	-2.293593	A
cell_0003	1.943063	-2.315925	B
cell_0004	-1.210786	-2.362418	B
cell_0005	-1.255033	-1.80812	B
cell_0006	1.366991	-1.801504	B
cell_0007	0.57822	-1.422037	B
cell_0008	-0.972989	0.138877	B
cell_0009	2.327844	-1.789961	B
cell_0010	2.972834	1.220621	A
cell_0011	-0.943603	-1.227893	A
cell_0012	2.408303	-2.763566	A
cell_0013	-0.844495	-0.021872	A
cell_0014	-1.869444	-1.753836	A
cell_0015	2.688506	2.598746	A
cell_0016	2.509232	-1.016378	B
cell_0017	-0.57965	-2.983572	B
cell_0018	-1.62949	1.029799	B
cell_0019	1.363013	2.44128	A
cell_0020	-2.212765	2.011393	B
cell_0021	1.40446	1.014132	B
cell_0022	0.538157	-2.105133	A
cell_0023	-1.986092	-2.459504	A
cell_0024	-0.800451	0.070232	B
cell_0025	0.903242	1.341382	B
cell_0026	-2.775819	-2.392257	A
cell_0027	2.259265	-1.464647	B
cell_0028	-1.465265	-1.613038	B
cell_0029	0.208401	2.931996	A
cell_0030	-2.708478	-1.223867	A
cell_0031	2.968081	-0.214336	B
cell_0032	0.971819	-2.401147	B
cell_0033	0.921406	-1.951789	A
cell_0034	-2.881549	-2.763333	A
cell_0035	1.138498	-1.256597	B
cell_0036	-0.499347	1.809577	A
cell_0037	-0.718477	-1.123757	B
cell_0038	0.283694	1.431241	A
cell_0039	-0.153622	-2.430009	B
cell_0040	-2.081237	1.549224	B
cell_0041	1.171152	-2.724665	B
cell_0042	0.781868	2.111992	A
cell_0043	-1.193301	0.98013	A
cell_0044	0.969987	-1.976926	A
cell_0045	0.974898	-0.854836	A
cell_0046	-1.380137	-0.373713	B
cell_0047	0.633806	0.730842	B
cell_0048	-2.177019	2.270853	A
cell_0049	1.983916	-2.442292	A
