sample	sample_00	sample_01	sample_02	sample_03	sample_04
sample_00	0.074469	0.796207	0.745951	0.548851	0.7692
sample_01	0.962475	0.113374	0.045517	0.644675	0.212761
sample_02	0.735079	0.256591	0.848251	0.073145	0.036656
sample_03	0.119354	0.723976	0.3577	0.671685	0.260616
sample_04	0.040634	0.024706	0.502837	0.250688	0.893986
sample_05	0.279112	0.516868	0.289837	0.197418	0.539677
sample_06	0.26424	0.770494	0.685879	0.580596	0.653908
sample_07	0.160929	0.514309	0.606566	0.95154	0.148633
sample_08	0.846014	0.508736	0.281517	0.357138	0.392498
sample_09	0.005645	0.486805	0.926691	0.671296	0.891438
sample_10	0.466331	0.296434	0.381414	0.234533	0.589601
sample_11	0.937494	0.651528	0.822122	0.285137	0.857164
sample_12	0.039941	0.320313	0.030819	0.069809	0.133881
sample_13	0.928628	0.082345	0.156323	0.193499	0.501123
sample_14	0.59688	0.095956	0.219866	0.485861	0.090554
sample_15	0.773661	0.971629	0.746754	0.328346	0.363866
sample_16	0.625367	0.773319	0.79677	0.659422	0.010592
sample_17	0.84314	0.533206	0.849467	0.693458	0.238881
sample_18	0.301155	0.626933	0.294978	0.152395	0.964
sample_19	0.789908	0.210781	0.634046	0.566862	0.981853
sample_20	0.55016	0.629514	0.298057	0.8077	0.684162
sample_21	0.072881	0.213175	0.886978	0.958659	0.757206
sample_22	0.707682	0.685405	0.965365	0.16864	0.140371
sample_23	0.525395	0.835665	0.867139	0.313215	0.159222
sample_24	0.956988	0.20558	0.647941	0.78566	0.566357
sample_25	0.520606	0.828749	0.957392	0.712199	0.565813
sample_26	0.786258	0.878637	0.01115	0.640839	0.872195
sample_27	0.15937	0.741375	0.874767	0.27668	0.146199
sample_28	0.54308	0.435238	0.141374	0.359486	0.732004
sample_29	0.403417	0.816754	0.041773	0.67958	0.939175
sample_30	0.349403	0.07212	0.572719	0.331563	0.04042
sample_31	0.883397	0.686044	0.394082	0.479954	0.761472
sample_32	0.663334	0.023753	0.547525	0.445358	0.23175
sample_33	0.331067	0.716868	0.085127	0.774767	0.264357
sample_34	0.293574	0.037886	0.210053	0.486971	0.234019
sample_35	0.950308	0.073248	0.74143	0.108833	0.668586
sample_36	0.618281	0.177992	0.725937	0.645552	0.517885
sample_37	0.474857	0.251908	0.211737	0.081974	0.79146
sample_38	0.561335	0.070442	0.905628	0.280616	0.388093
sample_39	0.752134	0.821619	0.851459	0.826444	0.917902
sample_40	0.6493	0.910987	0.142455	0.891297	0.881552
sample_41	0.114722	0.407633	0.183993	0.196432	0.039905
sample_42	0.346007	0.451126	0.616885	0.733545	0.648525
sample_43	0.240348	0.404448	0.252742	0.626619	0.103225
sample_44	0.642264	0.316404	0.114623	0.727425	0.968441
sample_45	0.918607	0.389502	0.670978	0.892105	0.633567
sample_46	0.243827	0.118306	0.567293	0.849587	0.273495
sample_47	0.039877	0.005899	0.054388	0.631626	0.74191
sample_48	0.88566	0.720286	0.751042	0.812642	0.578631
sample_49	0.381373	0.063238	0.990076	0.578901	0.57016
