feature	mean	variance
GENE000	86.73024	116.256445
GENE001	17.056678	429.526624
GENE002	83.036357	141.633334
GENE003	60.083871	438.383157
GENE004	79.461607	204.323352
GENE005	82.045318	94.510507
GENE006	18.188415	354.574419
GENE007	65.964875	394.711241
GENE008	26.45207	288.993573
GENE009	72.41868	58.914302
GENE010	34.267127	3.597026
GENE011	45.347015	327.27306
GENE012	59.059599	343.883368
GENE013	22.981379	157.950857
GENE014	38.546188	181.134895
GENE015	10.857011	77.38929
GENE016	20.234855	325.787967
GENE017	85.959169	126.816363
GENE018	50.435953	427.488463
GENE019	41.979501	211.780774
GENE020	14.956119	182.822047
GENE021	9.629858	137.780271
GENE022	47.586919	340.302853
GENE023	61.474817	377.48595
GENE024	3.903656	206.614079
GENE025	78.386823	391.894208
GENE026	50.332921	241.233879
GENE027	11.751641	185.106484
GENE028	48.224094	277.455678
GENE029	13.032884	126.888823
GENE030	60.347465	153.326543
GENE031	82.752178	172.178152
GENE032	89.696895	352.747304
GENE033	77.487042	367.891215
GENE034	64.923174	427.499461
GENE035	52.204423	329.641425
GENE036	37.037745	373.907098
GENE037	4.343828	223.297439
GENE038	52.981652	349.655721
GENE039	22.948626	80.897559
GENE040	80.23002	107.229071
GENE041	78.955559	200.280453
GENE042	38.12365	169.218923
GENE043	58.904809	275.288107
GENE044	74.139404	348.528704
GENE045	76.153923	353.394967
GENE046	69.67076	80.369005
GENE047	9.771691	482.285126
GENE048	13.388311	2.645317
GENE049	47.714124	45.544292
