cell	x	y	cluster	rna_weight	atac_weight
cell_0000	-8.399205	6.058845	7	0.371956	0.414609
cell_0001	-9.244893	9.134187	0	0.352456	0.552685
cell_0002	-2.31348	7.522261	0	0.530357	0.357939
cell_0003	9.688962	6.262947	7	0.391427	0.36703
cell_0004	2.279312	1.497878	5	0.339948	0.623087
cell_0005	0.420111	3.883837	5	0.40798	0.434955
cell_0006	4.232117	9.321109	7	0.394322	0.552509
cell_0007	1.949451	1.263372	4	0.472888	0.528655
cell_0008	8.914317	5.399344	7	0.452353	0.63956
cell_0009	6.404575	5.149466	2	0.358337	0.328538
cell_0010	2.805826	9.224775	4	0.683659	0.3648
cell_0011	-1.220559	-0.823031	6	0.359819	0.391287
cell_0012	-5.965855	-0.785591	3	0.622267	0.426751
cell_0013	3.137684	1.73653	2	0.370643	0.416543
cell_0014	6.078198	-9.452986	0	0.499839	0.406989
cell_0015	-4.27987	-7.674634	6	0.698225	0.557858
cell_0016	-9.327813	-8.648915	7	0.639756	0.408499
cell_0017	1.990298	2.673236	0	0.506803	0.477959
cell_0018	0.316273	9.883961	5	0.588224	0.645123
cell_0019	-5.366581	3.53826	6	0.614133	0.445266
cell_0020	-6.610342	-5.401397	2	0.420014	0.534768
cell_0021	-9.278777	-3.685386	7	0.524855	0.68621
cell_0022	-5.214867	9.108914	1	0.527134	0.465596
cell_0023	-9.994255	0.330084	7	0.459361	0.373554
cell_0024	-6.851105	-9.805536	5	0.576217	0.30924
cell_0025	9.936343	6.643541	0	0.324015	0.591109
cell_0026	5.593458	-5.034848	0	0.625527	0.564809
cell_0027	-2.937447	-8.139811	3	0.490616	0.676175
cell_0028	-2.097138	3.473958	6	0.551945	0.580279
cell_0029	1.721603	6.421494	1	0.479942	0.332026
cell_0030	0.354854	-8.479424	5	0.433863	0.366764
cell_0031	4.738511	8.627925	5	0.444385	0.341204
cell_0032	-8.627657	-0.468891	4	0.52414	0.325517
cell_0033	-8.196683	-2.929241	2	0.672738	0.651476
cell_0034	-4.310124	7.886325	4	0.403086	0.519373
cell_0035	6.595296	-4.618484	3	0.307934	0.310546
cell_0036	8.300179	8.942362	4	0.348495	0.458805
cell_0037	-3.038095	3.662146	7	0.646947	0.605999
cell_0038	9.265753	8.198549	5	0.685247	0.3333
cell_0039	-4.469843	-0.020013	5	0.379583	0.404981
cell_0040	2.127268	-6.006669	2	0.530358	0.36211
cell_0041	-6.109496	4.708581	7	0.559652	0.561933
cell_0042	8.594277	7.45485	6	0.369816	0.654189
cell_0043	1.498134	-5.864427	3	0.612124	0.423748
cell_0044	-4.77785	-5.944669	6	0.442044	0.398959
cell_0045	-1.857307	-5.006091	5	0.569277	0.41367
cell_0046	-7.870701	2.371938	5	0.494997	0.550592
cell_0047	-8.552281	-6.880089	6	0.59461	0.352511
cell_0048	-4.114964	-7.866214	4	0.655853	0.635407
cell_0049	8.940309	8.403763	7	0.452428	0.311429
