feature	mean	variance
GENE000	63.066285	492.035829
GENE001	66.373694	483.672817
GENE002	66.871714	297.772046
GENE003	68.407402	410.861884
GENE004	53.919721	418.80711
GENE005	57.962844	376.380648
GENE006	61.303911	206.473938
GENE007	90.358527	191.583496
GENE008	53.503326	330.333644
GENE009	1.07834	362.999546
GENE010	45.403477	83.64163
GENE011	90.605508	288.878697
GENE012	57.39653	420.916518
GENE013	33.151399	27.162893
GENE014	35.291454	132.197748
GENE015	97.776051	409.765505
GENE016	29.461795	26.261598
GENE017	16.750816	232.007464
GENE018	69.505116	238.115971
GENE019	59.763652	238.13312
GENE020	30.407084	474.125887
GENE021	78.502156	461.229624
GENE022	26.044314	116.830656
GENE023	62.930005	341.754979
GENE024	57.814109	195.035243
GENE025	57.286	131.312576
GENE026	65.631989	265.221066
GENE027	29.175321	217.367165
GENE028	73.738008	144.396111
GENE029	2.729809	398.654522
GENE030	48.476019	191.002047
GENE031	12.682134	157.844312
GENE032	7.686226	265.126711
GENE033	78.376282	477.935374
GENE034	25.205097	48.68216
GENE035	61.579776	265.646676
GENE036	27.521711	176.914047
GENE037	25.695572	422.119641
GENE038	74.142917	305.242784
GENE039	60.382154	326.032962
GENE040	91.013149	136.295297
GENE041	73.896723	135.163059
GENE042	65.915564	401.15818
GENE043	36.976683	127.671959
GENE044	17.539936	292.088417
GENE045	78.252771	230.554297
GENE046	23.619588	337.64556
GENE047	18.080919	120.898484
GENE048	52.738885	335.944927
GENE049	3.309053	385.248643
