term	p_value	adj_p_value	n_overlap
GO:0000000	1.405e-05	0.49690985	13
GO:0000001	0.00051216	1e-08	12
GO:0000002	0.68049821	7.7e-07	36
GO:0000003	1.3e-07	0.00024563	3
GO:0000004	0.0	0.0	25
GO:0000005	0.0	2.25e-05	43
GO:0000006	0.0	1.86e-06	13
GO:0000007	1.18e-06	0.00011975	20
GO:0000008	1.585e-05	0.0	45
GO:0000009	0.00061157	2.35e-06	25
GO:0000010	3e-07	4e-08	7
GO:0000011	0.0015135	0.0	41
GO:0000012	3e-08	0.0	45
GO:0000013	0.0	0.00159477	23
GO:0000014	0.00013553	0.00495049	32
GO:0000015	0.0	0.0	6
GO:0000016	7.62e-05	8.46e-06	41
GO:0000017	0.07083909	0.00029065	29
GO:0000018	1e-08	0.0	48
GO:0000019	8.588e-05	0.0	13
GO:0000020	0.0	7.3e-07	9
GO:0000021	0.30351059	0.0	3
GO:0000022	0.0	1.8e-07	13
GO:0000023	9.691e-05	7.5e-07	2
GO:0000024	5.3e-07	0.0	47
GO:0000025	0.00364915	0.00101227	38
GO:0000026	0.00025958	0.00429346	16
GO:0000027	0.00894707	5.41e-06	32
GO:0000028	1e-08	1e-06	25
GO:0000029	0.0	0.00160287	5
GO:0000030	1e-08	0.01100345	35
GO:0000031	8e-08	0.0	42
GO:0000032	0.00034572	2e-08	20
GO:0000033	0.0	6.4e-07	32
GO:0000034	3.08e-06	0.00066633	35
GO:0000035	0.71276932	0.00525189	29
GO:0000036	0.00413671	0.0	2
GO:0000037	0.00071284	1.993e-05	3
GO:0000038	0.00040648	0.65592422	22
GO:0000039	0.00420905	2e-07	4
GO:0000040	4e-08	1e-07	22
GO:0000041	0.00536093	0.0	47
GO:0000042	6e-08	0.74208967	3
GO:0000043	0.0	0.0002547	26
GO:0000044	7e-07	4.1e-07	8
GO:0000045	0.72441897	0.02805993	14
GO:0000046	4e-08	2.3e-07	42
GO:0000047	0.01113598	0.02126658	43
GO:0000048	1e-08	0.00337665	34
GO:0000049	0.0	7e-08	30
