position	signal	group
-500	36.500888	H3K27ac
-499	36.808943	H3K27ac
-498	12.332709	H3K4me3
-497	16.364797	H3K27ac
-496	28.973352	H3K4me3
-495	44.591131	H3K27ac
-494	29.588582	H3K27ac
-493	7.448485	H3K4me3
-492	28.685039	H3K4me3
-491	0.253879	H3K4me3
-490	49.009202	H3K27ac
-489	2.002934	H3K4me3
-488	23.532632	H3K4me3
-487	38.43032	H3K27ac
-486	1.681028	H3K27ac
-485	26.556086	H3K27ac
-484	23.963467	H3K27ac
-483	39.900876	H3K4me3
-482	41.064566	H3K27ac
-481	22.622068	H3K27ac
-480	12.025575	H3K4me3
-479	27.924348	H3K27ac
-478	0.62115	H3K27ac
-477	36.589314	H3K4me3
-476	47.496695	H3K4me3
-475	6.6356	H3K4me3
-474	14.789521	H3K4me3
-473	32.38201	H3K4me3
-472	4.536475	H3K27ac
-471	23.989148	H3K27ac
-470	15.24183	H3K4me3
-469	35.165224	H3K4me3
-468	42.896106	H3K4me3
-467	37.364335	H3K4me3
-466	1.220674	H3K27ac
-465	22.74204	H3K4me3
-464	38.59175	H3K4me3
-463	43.709952	H3K4me3
-462	20.268019	H3K4me3
-461	39.492936	H3K27ac
-460	18.521023	H3K27ac
-459	23.214789	H3K4me3
-458	31.670115	H3K27ac
-457	43.019133	H3K27ac
-456	3.53493	H3K4me3
-455	44.671722	H3K27ac
-454	16.645307	H3K4me3
-453	1.635709	H3K27ac
-452	21.295113	H3K27ac
-451	13.489469	H3K27ac
