depth	peaks_called	group
1772702	20055	sample_01
2427945	61036	sample_01
2861627	42971	sample_01
3275520	21454	sample_01
7946189	1562	sample_01
8253057	97796	sample_01
8587493	72584	sample_01
10028368	67507	sample_01
10054817	44421	sample_01
10400190	85835	sample_01
10890426	93464	sample_01
10921620	39739	sample_01
11011740	63116	sample_01
11264436	38988	sample_01
11868166	99849	sample_01
12332637	76199	sample_01
12481356	88410	sample_01
13867743	20278	sample_01
15319078	75086	sample_01
16065556	96491	sample_01
17575631	58947	sample_01
19184555	45392	sample_01
19242574	91327	sample_01
19437170	15721	sample_01
20337333	96897	sample_01
21348400	63781	sample_01
21369735	6253	sample_01
23175182	19274	sample_01
23797542	89867	sample_01
24908277	73215	sample_01
25057941	16319	sample_01
25125897	41380	sample_01
27249718	4250	sample_01
29687535	53642	sample_01
30193567	81939	sample_01
30696711	29883	sample_01
32597005	59454	sample_01
33615301	47844	sample_01
35912172	13121	sample_01
36024494	43777	sample_01
36329833	8213	sample_01
37847879	80711	sample_01
38655731	85058	sample_01
41615571	26578	sample_01
44764524	77471	sample_01
44818391	70000	sample_01
46596998	30116	sample_01
47554985	37428	sample_01
47620535	26652	sample_01
47868906	3955	sample_01
