group	value
sample_00	23.807158
sample_01	22.769452
sample_02	17.120733
sample_03	20.471994
sample_04	12.776887
sample_00	20.102885
sample_01	11.609868
sample_02	22.521132
sample_03	24.719517
sample_04	16.361378
sample_00	17.713765
sample_01	16.11367
sample_02	21.421142
sample_03	14.714204
sample_04	16.988525
sample_00	17.795914
sample_01	17.43724
sample_02	15.418757
sample_03	14.324069
sample_04	20.832049
sample_00	11.233719
sample_01	17.405692
sample_02	15.771717
sample_03	16.854186
sample_04	21.042616
sample_00	20.305698
sample_01	22.616353
sample_02	13.388101
sample_03	16.109233
sample_04	24.774435
sample_00	16.419425
sample_01	22.851606
sample_02	23.42132
sample_03	22.036546
sample_04	24.08623
sample_00	15.511621
sample_01	10.191788
sample_02	20.112384
sample_03	20.081432
sample_04	15.945546
sample_00	17.839936
sample_01	20.14778
sample_02	11.788268
sample_03	15.922172
sample_04	20.425557
sample_00	24.663563
sample_01	21.121482
sample_02	23.386414
sample_03	12.530848
sample_04	15.45565
