peptide	protein	coverage	intensity	score
PEPTIDE000	PROT000	0.600083	11685088.77441	41.641899
PEPTIDE001	PROT001	0.995207	4417171.986659	7.683546
PEPTIDE002	PROT002	0.282967	12788021.601942	76.825343
PEPTIDE003	PROT003	0.677189	87168084.235602	67.690852
PEPTIDE004	PROT004	0.418331	83480568.977645	88.73677
PEPTIDE005	PROT005	0.408524	74782588.948562	2.596217
PEPTIDE006	PROT006	0.145943	92623778.010198	68.131234
PEPTIDE007	PROT007	0.290193	28293267.893705	68.063941
PEPTIDE008	PROT008	0.261799	87693761.614266	39.41698
PEPTIDE009	PROT009	0.61768	61293544.131548	59.03385
PEPTIDE010	PROT000	0.907328	76156630.329942	95.121985
PEPTIDE011	PROT001	0.369638	26376530.292882	83.697721
PEPTIDE012	PROT002	0.684267	31301718.576045	15.377547
PEPTIDE013	PROT003	0.458164	89267288.311155	8.106324
PEPTIDE014	PROT004	0.01032	31554976.403424	83.069923
PEPTIDE015	PROT005	0.133205	99456512.023449	65.953932
PEPTIDE016	PROT006	0.323246	76367777.68995	45.405552
PEPTIDE017	PROT007	0.693024	15127323.350943	95.520153
PEPTIDE018	PROT008	0.686852	85303513.093094	59.420426
PEPTIDE019	PROT009	0.713336	65742290.348147	0.580536
PEPTIDE020	PROT000	0.708453	79822220.105138	96.977051
PEPTIDE021	PROT001	0.736104	5323165.60491	65.617276
PEPTIDE022	PROT002	0.256226	14862932.083291	95.089597
PEPTIDE023	PROT003	0.095279	22986824.696377	32.491547
PEPTIDE024	PROT004	0.058752	3587188.954676	73.154522
PEPTIDE025	PROT005	0.332863	26023136.134552	73.431956
PEPTIDE026	PROT006	0.234841	70596580.294593	95.740278
PEPTIDE027	PROT007	0.908227	43643550.222406	56.915844
PEPTIDE028	PROT008	0.996739	99520179.134076	21.136686
PEPTIDE029	PROT009	0.939322	92720706.90759	4.868225
PEPTIDE030	PROT000	0.96721	4080130.062323	64.364403
PEPTIDE031	PROT001	0.598232	35652655.104472	32.317085
PEPTIDE032	PROT002	0.748242	70903205.19755	5.553502
PEPTIDE033	PROT003	0.045512	48520466.246661	7.072409
PEPTIDE034	PROT004	0.253657	49299362.01255	95.190019
PEPTIDE035	PROT005	0.619658	84583989.25664	38.139093
PEPTIDE036	PROT006	0.302507	86688063.159311	39.88585
PEPTIDE037	PROT007	0.394697	12366299.749151	17.80108
PEPTIDE038	PROT008	0.370901	9358694.24262	96.504931
PEPTIDE039	PROT009	0.968058	86817442.789058	86.551551
PEPTIDE040	PROT000	0.55956	18066315.756176	8.918831
PEPTIDE041	PROT001	0.580487	16830331.866063	85.234583
PEPTIDE042	PROT002	0.260292	50874267.655301	16.294068
PEPTIDE043	PROT003	0.503747	27279882.584439	77.949255
PEPTIDE044	PROT004	0.930327	89089561.329805	28.493589
PEPTIDE045	PROT005	0.877897	58568154.503982	75.255857
PEPTIDE046	PROT006	0.13192	58355155.550863	65.40643
PEPTIDE047	PROT007	0.317317	97162763.837908	12.060198
PEPTIDE048	PROT008	0.530424	52602014.644593	49.08451
PEPTIDE049	PROT009	0.141796	57079210.325641	43.235842
