group	value
sample_00	21.402572
sample_01	19.916209
sample_02	17.799234
sample_03	17.382813
sample_04	16.990327
sample_00	14.403444
sample_01	17.468486
sample_02	17.571921
sample_03	18.136572
sample_04	22.142224
sample_00	18.107935
sample_01	10.265056
sample_02	21.459474
sample_03	24.860673
sample_04	23.201885
sample_00	11.787012
sample_01	16.751733
sample_02	22.793114
sample_03	16.638342
sample_04	10.539717
sample_00	12.653038
sample_01	19.891165
sample_02	21.690737
sample_03	23.270503
sample_04	12.462164
sample_00	16.460217
sample_01	14.686895
sample_02	15.836207
sample_03	21.460167
sample_04	18.532828
sample_00	17.358306
sample_01	18.306758
sample_02	18.090886
sample_03	17.047276
sample_04	18.433831
sample_00	12.344664
sample_01	10.836057
sample_02	13.950865
sample_03	18.865677
sample_04	15.666966
sample_00	20.147317
sample_01	21.497062
sample_02	14.266563
sample_03	10.92136
sample_04	18.856951
sample_00	11.922971
sample_01	15.496151
sample_02	22.143301
sample_03	18.759505
sample_04	21.47791
