gene	log2fc_te	pvalue	log2fc_rna	log2fc_ribo
GENE000	-3.0564	0.01019627	-3.0522	-1.9957
GENE001	0.224	0.02769931	2.3098	-2.3802
GENE002	0.641	0.0949893	0.8077	2.4952
GENE003	2.2544	0.17901761	-1.2254	-1.7383
GENE004	1.1176	0.00156131	-2.1253	-1.4336
GENE005	-2.749	0.0	-1.016	-0.3196
GENE006	0.8442	1e-08	2.1457	-0.2351
GENE007	1.4613	3.79e-06	2.0313	0.089
GENE008	1.318	2e-08	-3.0233	4.4433
GENE009	-0.2563	0.00245297	-1.6725	-1.1186
GENE010	-3.5641	0.00379095	-2.3133	1.4721
GENE011	-4.0654	0.02274091	-0.3703	-0.8345
GENE012	3.4696	1.15e-06	2.2832	3.097
GENE013	1.7767	0.03279751	1.4539	-1.3097
GENE014	0.3513	0.10477657	0.2518	-1.1631
GENE015	1.5301	0.00018875	-1.716	3.7872
GENE016	-0.7649	0.02371773	1.6171	1.1494
GENE017	2.4965	4e-08	-2.842	1.8169
GENE018	0.9417	7e-08	1.1347	-1.4987
GENE019	-2.6364	0.0	-3.1003	3.3369
GENE020	3.0705	0.00063076	1.289	-2.1734
GENE021	-0.8309	2e-08	-0.553	-2.7813
GENE022	-2.3608	2e-08	1.0872	-0.123
GENE023	-1.2632	0.0	0.8634	0.8079
GENE024	-0.3782	0.0	-0.3148	0.4282
GENE025	2.5578	0.00777576	2.0248	-2.2869
GENE026	-2.0709	1.2e-07	0.442	-0.3745
GENE027	-0.4094	6.39e-06	-0.5148	-4.5545
GENE028	-0.4586	0.651331	-3.0335	-1.0407
GENE029	0.6541	1.51e-06	-0.6475	1.8186
GENE030	1.0595	0.09246783	1.9058	0.8021
GENE031	-2.1207	1e-08	1.6373	-0.4506
GENE032	-0.9105	5e-08	-1.4855	0.8306
GENE033	2.8077	0.0	0.2367	1.3151
GENE034	-0.8019	0.00657251	-0.6073	1.9113
GENE035	1.907	6e-08	3.4498	0.8467
GENE036	-0.0191	2.831e-05	1.393	-0.3278
GENE037	2.4072	0.00023906	1.7938	-2.4981
GENE038	-1.1918	0.0	-1.1573	-1.4301
GENE039	-2.2191	0.00142067	1.268	2.7313
GENE040	2.0607	0.00554771	-2.6525	0.2153
GENE041	-1.9134	0.0	-3.4373	-2.8561
GENE042	-1.2785	0.07505925	3.2021	0.8755
GENE043	-0.1308	1.3e-07	0.7117	1.9801
GENE044	-2.941	9e-08	0.203	-0.0992
GENE045	0.0147	0.0	-0.6392	-0.1216
GENE046	2.113	0.28534872	2.5922	0.527
GENE047	-4.2182	0.07551881	-1.4795	1.6246
GENE048	-0.3206	0.00044622	-0.0369	-0.8615
GENE049	2.8328	0.05869777	1.9707	-0.4445
