sample	metric	value
sample_00	n_genes	850.614419
sample_01	pct_mito	2836.214495
sample_02	pct_mito	70.574534
sample_03	pct_mito	2629.188502
sample_04	n_genes	3866.796602
sample_00	pct_mito	4641.42436
sample_01	pct_mito	4136.28726
sample_02	n_counts	2470.745151
sample_03	n_counts	1122.419749
sample_04	n_counts	1015.726819
sample_00	n_counts	4730.261634
sample_01	pct_mito	4067.062131
sample_02	n_genes	1331.014234
sample_03	n_counts	3732.215147
sample_04	n_genes	1910.367576
sample_00	pct_mito	2156.542944
sample_01	pct_mito	1033.029765
sample_02	n_counts	1077.832989
sample_03	n_counts	4120.444442
sample_04	n_genes	3633.540335
sample_00	n_genes	946.815849
sample_01	n_counts	901.84936
sample_02	n_counts	3962.317673
sample_03	n_genes	143.865581
sample_04	n_counts	4880.640815
sample_00	n_counts	1177.428127
sample_01	pct_mito	2254.883457
sample_02	n_genes	1241.589798
sample_03	n_genes	2914.515387
sample_04	n_genes	3236.177842
sample_00	pct_mito	428.693369
sample_01	pct_mito	2344.40804
sample_02	pct_mito	4357.217376
sample_03	pct_mito	4871.995885
sample_04	n_genes	1987.773578
sample_00	n_genes	1061.08832
sample_01	n_counts	1917.477276
sample_02	n_genes	2116.454755
sample_03	n_counts	2985.979701
sample_04	pct_mito	365.278091
sample_00	n_genes	2784.999872
sample_01	n_genes	260.563058
sample_02	n_counts	4655.323037
sample_03	pct_mito	2354.662117
sample_04	n_counts	1771.508418
sample_00	pct_mito	3031.872322
sample_01	n_counts	3353.957719
sample_02	n_genes	4011.242524
sample_03	n_genes	3547.829827
sample_04	n_counts	4049.264753
