clonotype_id	frequency	is_public	n_members
clone_0	0.009438	true	5
clone_1	0.037871	false	6
clone_2	0.07573	false	22
clone_3	0.036704	true	21
clone_4	0.066835	false	26
clone_5	0.01601	false	50
clone_6	0.075597	true	11
clone_7	0.04275	false	28
clone_8	0.02359	false	4
clone_9	0.080375	true	26
clone_10	0.041928	false	49
clone_11	0.041522	false	3
clone_12	0.046417	true	43
clone_13	0.085387	false	42
clone_14	0.079666	false	10
clone_15	0.036816	true	37
clone_16	0.003947	false	4
clone_17	0.015413	false	41
clone_18	0.001985	true	46
clone_19	0.080818	false	43
