cell	chain	cdr3_length	v_segment	clonotype_id
cell_0000	IGL	19	TRAV16	clone_15
cell_0001	IGH	8	TRAV26	clone_8
cell_0002	TRA	16	TRAV28	clone_10
cell_0003	TRB	8	TRAV6	clone_11
cell_0004	TRB	14	TRAV20	clone_1
cell_0005	TRA	17	TRAV7	clone_17
cell_0006	TRB	13	TRAV10	clone_8
cell_0007	TRA	16	TRAV23	clone_4
cell_0008	TRA	9	TRAV24	clone_16
cell_0009	TRB	12	TRAV3	clone_19
cell_0010	TRA	18	TRAV22	clone_3
cell_0011	TRB	14	TRAV16	clone_1
cell_0012	IGL	15	TRAV5	clone_14
cell_0013	TRB	9	TRAV6	clone_14
cell_0014	TRB	15	TRAV7	clone_3
cell_0015	IGL	17	TRAV6	clone_3
cell_0016	TRB	18	TRAV20	clone_19
cell_0017	TRA	13	TRAV16	clone_19
cell_0018	IGH	15	TRAV4	clone_3
cell_0019	IGL	19	TRAV26	clone_17
cell_0020	TRB	14	TRAV14	clone_1
cell_0021	IGL	8	TRAV16	clone_16
cell_0022	IGL	10	TRAV10	clone_3
cell_0023	TRA	12	TRAV8	clone_5
cell_0024	TRA	19	TRAV7	clone_20
cell_0025	TRB	11	TRAV18	clone_3
cell_0026	TRB	15	TRAV2	clone_6
cell_0027	IGL	13	TRAV1	clone_11
cell_0028	IGL	15	TRAV12	clone_5
cell_0029	IGL	11	TRAV29	clone_9
cell_0030	TRA	16	TRAV9	clone_14
cell_0031	IGL	11	TRAV12	clone_16
cell_0032	TRB	17	TRAV22	clone_15
cell_0033	TRB	18	TRAV6	clone_3
cell_0034	IGH	13	TRAV6	clone_4
cell_0035	IGL	17	TRAV27	clone_20
cell_0036	TRA	19	TRAV28	clone_11
cell_0037	IGH	18	TRAV29	clone_10
cell_0038	TRA	15	TRAV17	clone_4
cell_0039	TRA	10	TRAV2	clone_3
cell_0040	IGL	12	TRAV26	clone_6
cell_0041	IGL	19	TRAV3	clone_14
cell_0042	IGL	19	TRAV11	clone_13
cell_0043	IGH	14	TRAV14	clone_0
cell_0044	TRA	14	TRAV4	clone_7
cell_0045	IGL	18	TRAV20	clone_15
cell_0046	IGL	18	TRAV8	clone_10
cell_0047	IGL	19	TRAV4	clone_9
cell_0048	IGL	13	TRAV18	clone_16
cell_0049	TRB	20	TRAV8	clone_5
