cell	sgrna	umi_count	perturbation
cell_0000	sgRNA_017	41	target_7
cell_0001	sgRNA_011	30	target_8
cell_0002	sgRNA_003	49	target_0
cell_0003	sgRNA_019	29	target_1
cell_0004	sgRNA_013	43	target_8
cell_0005	sgRNA_003	29	target_2
cell_0006	sgRNA_003	10	target_0
cell_0007	sgRNA_011	47	target_4
cell_0008	sgRNA_018	21	target_3
cell_0009	sgRNA_009	6	target_3
cell_0010	sgRNA_001	40	target_9
cell_0011	sgRNA_016	43	target_7
cell_0012	sgRNA_004	40	target_1
cell_0013	sgRNA_003	27	target_8
cell_0014	sgRNA_011	25	target_9
cell_0015	sgRNA_009	15	target_5
cell_0016	sgRNA_011	26	target_6
cell_0017	sgRNA_009	22	target_9
cell_0018	sgRNA_009	35	target_0
cell_0019	sgRNA_015	3	target_7
cell_0020	sgRNA_000	43	target_0
cell_0021	sgRNA_004	29	target_5
cell_0022	sgRNA_004	48	target_6
cell_0023	sgRNA_018	18	target_2
cell_0024	sgRNA_013	42	target_6
cell_0025	sgRNA_001	6	target_0
cell_0026	sgRNA_009	11	target_8
cell_0027	sgRNA_009	46	target_5
cell_0028	sgRNA_006	2	target_6
cell_0029	sgRNA_005	37	target_4
cell_0030	sgRNA_015	41	target_1
cell_0031	sgRNA_000	50	target_1
cell_0032	sgRNA_003	46	target_1
cell_0033	sgRNA_017	20	target_8
cell_0034	sgRNA_011	36	target_2
cell_0035	sgRNA_002	42	target_4
cell_0036	sgRNA_001	8	target_2
cell_0037	sgRNA_013	42	target_2
cell_0038	sgRNA_015	36	target_4
cell_0039	sgRNA_018	6	target_1
cell_0040	sgRNA_009	13	target_2
cell_0041	sgRNA_018	40	target_4
cell_0042	sgRNA_014	35	target_6
cell_0043	sgRNA_010	37	target_2
cell_0044	sgRNA_012	49	target_0
cell_0045	sgRNA_015	4	target_9
cell_0046	sgRNA_019	37	target_5
cell_0047	sgRNA_004	34	target_2
cell_0048	sgRNA_004	13	target_0
cell_0049	sgRNA_016	49	target_0
