spot	domain	x	y
spot_0000	5	316.774095	373.529966
spot_0001	3	245.979391	424.563735
spot_0002	2	397.770232	413.875646
spot_0003	4	166.400559	17.171933
spot_0004	1	111.903108	160.069679
spot_0005	5	287.986043	251.188997
spot_0006	1	461.92375	344.299999
spot_0007	4	32.333514	136.726271
spot_0008	4	171.61289	423.834632
spot_0009	5	455.083563	286.985977
spot_0010	4	371.48391	315.538536
spot_0011	0	362.514043	107.852532
spot_0012	1	326.959825	145.747552
spot_0013	3	392.540941	483.247851
spot_0014	0	483.123999	29.406294
spot_0015	2	218.481126	405.105089
spot_0016	5	116.683722	76.351117
spot_0017	4	129.546974	358.383153
spot_0018	3	145.488251	424.034974
spot_0019	1	55.691261	467.216454
spot_0020	3	170.118927	112.535867
spot_0021	0	296.100244	367.862787
spot_0022	3	94.078186	461.578927
spot_0023	5	471.003838	388.019369
spot_0024	4	286.419505	428.389398
spot_0025	1	63.708733	363.697731
spot_0026	1	156.686146	149.550889
spot_0027	1	190.097554	407.506081
spot_0028	1	368.458945	456.188186
spot_0029	5	155.399457	79.596613
spot_0030	5	295.029892	10.782911
spot_0031	0	94.928838	196.142787
spot_0032	0	194.072764	211.218736
spot_0033	3	211.849247	236.710809
spot_0034	5	385.640451	174.15358
spot_0035	0	398.75907	195.681357
spot_0036	1	466.962583	35.91161
spot_0037	2	63.153682	363.3773
spot_0038	3	331.871389	141.182042
spot_0039	2	295.387992	461.531893
spot_0040	1	53.292961	350.554335
spot_0041	5	4.594261	274.005016
spot_0042	2	426.181013	48.659783
spot_0043	5	157.963113	161.709293
spot_0044	3	408.07398	395.638733
spot_0045	5	148.411776	432.927716
spot_0046	0	109.452119	27.061652
spot_0047	5	339.990461	467.287714
spot_0048	1	73.712679	152.037004
spot_0049	4	141.696413	327.316993
