gene	morans_i	p_value
GENE000	-0.782723	0.00199149
GENE001	0.13903	7e-08
GENE002	-0.096929	0.05270373
GENE003	0.789488	3.29e-06
GENE004	-0.813517	0.0008573
GENE005	-0.791374	0.00110998
GENE006	0.105814	9e-08
GENE007	-0.935882	0.00011721
GENE008	0.378049	0.01044357
GENE009	-0.022773	1e-08
GENE010	-0.626616	3e-08
GENE011	-0.861018	0.08121752
GENE012	0.925989	0.001816
GENE013	-0.432365	3.41e-06
GENE014	-0.533921	0.10405133
GENE015	0.31914	1e-08
GENE016	-0.860041	4.259e-05
GENE017	-0.885094	7.9e-07
GENE018	0.037063	0.2303058
GENE019	-0.656349	2e-08
GENE020	0.719415	0.04152809
GENE021	-0.178278	5e-08
GENE022	-0.685929	0.00016521
GENE023	-0.778512	8e-08
GENE024	0.072906	0.11785112
GENE025	-0.043498	0.00081402
GENE026	-0.862474	0.00141858
GENE027	0.910194	1e-08
GENE028	0.731399	7.68e-06
GENE029	-0.740135	0.66781819
GENE030	-0.588646	2.971e-05
GENE031	-0.135599	0.71389144
GENE032	0.419343	0.0
GENE033	-0.05044	0.0
GENE034	0.207419	0.00387915
GENE035	0.878309	1.7e-07
GENE036	0.174984	2.91e-06
GENE037	0.00495	3e-08
GENE038	0.369672	1.023e-05
GENE039	-0.449118	3.76e-06
GENE040	-0.985113	0.0
GENE041	-0.714616	0.0007506
GENE042	-0.87206	0.00264477
GENE043	-0.201526	5.9e-07
GENE044	0.615132	0.00242649
GENE045	0.051713	0.02965884
GENE046	0.820605	8.5e-07
GENE047	0.758479	0.0
GENE048	-0.079591	0.0
GENE049	0.152266	0.12013127
