source	target	score
2	5	0.105885
5	5	0.323368
5	0	0.014995
3	3	0.653993
3	5	0.011981
3	2	0.212768
0	3	0.220096
0	0	0.657962
4	4	0.278458
5	0	0.623909
1	0	0.043939
5	3	0.88546
3	1	0.411097
1	1	0.767545
3	2	0.499576
2	1	0.990474
1	1	0.712531
1	0	0.79126
0	0	0.922224
4	3	0.569205
0	0	0.25194
1	0	0.094745
2	2	0.324354
0	1	0.630874
4	5	0.388565
5	5	0.924553
3	0	0.771406
1	1	0.132931
0	0	0.175331
5	5	0.761716
0	1	0.687625
5	5	0.978022
2	1	0.666371
1	0	0.067513
3	3	0.017649
2	4	0.912103
1	0	0.448912
1	2	0.511026
5	2	0.741814
0	4	0.50342
5	5	0.704629
4	1	0.013292
1	4	0.021213
3	1	0.758941
5	4	0.124056
0	3	0.236396
5	3	0.428498
4	0	0.243546
5	1	0.07939
5	1	0.137555
