sample	PC1	PC2	group
sample_00	-2.240531	0.092784	C
sample_01	0.843272	0.624986	A
sample_02	-4.127688	-1.097531	C
sample_03	-3.936345	1.072184	C
sample_04	1.295586	-2.930754	C
sample_05	1.018351	-4.963995	B
sample_06	-4.589611	0.71898	C
sample_07	4.683302	0.921128	B
sample_08	3.840414	-4.911387	C
sample_09	3.174092	4.286273	C
sample_10	-3.070725	0.127957	C
sample_11	-0.542302	0.038178	C
sample_12	-4.013626	2.205792	A
sample_13	4.41818	-2.411654	B
sample_14	1.190104	3.524751	A
sample_15	-1.985236	-2.036363	B
sample_16	-0.258015	-2.314853	B
sample_17	2.60988	-3.808966	A
sample_18	0.335576	-2.760705	C
sample_19	-3.463276	0.335658	C
sample_20	-3.721681	-2.081567	B
sample_21	-0.817874	1.396153	A
sample_22	2.116031	4.42046	B
sample_23	3.915867	-2.222435	A
sample_24	2.593552	-3.670286	C
sample_25	3.46088	3.733828	C
sample_26	0.603461	-4.4848	B
sample_27	-1.526605	4.800237	B
sample_28	-1.33988	4.895363	A
sample_29	1.298646	-2.900276	B
sample_30	-3.825711	-3.838152	A
sample_31	-0.638742	1.486455	B
sample_32	-0.171794	1.326829	A
sample_33	0.237628	4.722186	B
sample_34	4.524442	-1.754381	A
sample_35	2.908852	4.464278	A
sample_36	-3.330649	3.839864	A
sample_37	-2.258514	-2.359618	C
sample_38	4.674869	-3.663884	B
sample_39	-2.103436	3.983358	C
sample_40	4.558029	-2.051047	A
sample_41	-4.392066	4.852613	C
sample_42	4.72474	1.259553	B
sample_43	-3.098091	-4.895918	A
sample_44	3.145335	-1.445168	B
sample_45	-0.049741	2.304767	A
sample_46	0.324699	-2.203102	A
sample_47	0.134877	-2.440128	B
sample_48	-4.250145	-4.843615	C
sample_49	-0.622551	1.573176	C
