time	value	is_anomaly
0	49.78052	0
1	68.512186	0
2	67.677417	0
3	53.240935	0
4	12.469159	0
5	1.390026	0
6	19.0184	0
7	83.139742	0
8	0.729026	0
9	42.497891	0
10	53.432482	0
11	34.506063	0
12	99.422195	0
13	66.117411	0
14	92.045896	0
15	99.916792	1
16	94.494138	0
17	68.40781	0
18	4.235598	0
19	44.865204	0
20	16.853234	0
21	93.018536	0
22	76.371045	0
23	90.379862	0
24	17.48142	0
25	36.705094	1
26	13.33188	0
27	35.329153	0
28	5.090656	0
29	49.550786	0
30	17.048396	0
31	96.97284	0
32	33.79586	0
33	67.906317	0
34	83.172641	0
35	85.077705	0
36	85.780616	0
37	29.006474	0
38	48.312468	0
39	26.475079	0
40	0.223431	1
41	63.117645	1
42	39.362148	1
43	92.305637	0
44	92.910901	0
45	95.913494	0
46	51.552901	0
47	89.341786	0
48	93.541438	0
49	89.249391	0
