gene	log2fc_te	pvalue	log2fc_rna	log2fc_ribo
GENE000	-1.0628	3.7e-07	0.9222	-1.9927
GENE001	-1.8318	0.0104556	-2.1484	2.553
GENE002	-3.4477	0.00226479	-2.351	-0.2853
GENE003	0.5707	6.764e-05	-0.4864	1.5114
GENE004	2.5829	9.698e-05	1.9124	2.9129
GENE005	1.9537	2e-08	0.9742	0.2871
GENE006	-0.9908	5e-08	-2.5673	3.1942
GENE007	-0.8313	6.093e-05	-0.1498	-3.4891
GENE008	1.7242	0.0	-2.1095	-2.7745
GENE009	-2.2265	0.0	1.7396	-1.6002
GENE010	0.6022	0.00017086	0.0454	-1.8299
GENE011	0.815	9.082e-05	0.1637	-4.4666
GENE012	-1.302	0.0	-2.4098	-0.1294
GENE013	0.93	0.38589468	-1.1693	2.8029
GENE014	0.3996	0.05649495	4.5884	-1.0773
GENE015	1.0511	0.01236946	0.2557	-0.8285
GENE016	1.3266	1e-08	-2.3602	-1.6552
GENE017	0.1478	2.59e-06	-0.1902	0.6292
GENE018	1.288	0.0	-0.2845	0.805
GENE019	-1.473	0.21086196	-1.5216	2.7022
GENE020	-3.0661	0.00013434	1.0066	1.2617
GENE021	-0.485	1e-07	-1.3411	-1.5603
GENE022	1.4053	4.95e-06	-0.1169	-3.0515
GENE023	-0.1764	0.00341807	1.0004	1.0758
GENE024	-0.6363	1.915e-05	0.4028	-1.037
GENE025	0.3188	0.0	2.437	0.4573
GENE026	-0.5842	0.0	-0.7426	-2.3208
GENE027	0.2881	1.38e-06	2.7592	0.3079
GENE028	1.4646	0.00110885	1.5076	-3.5586
GENE029	1.2125	0.06709774	-0.5746	0.9282
GENE030	2.9537	0.00329318	2.7276	1.1629
GENE031	-1.1056	0.02378327	3.0155	2.3223
GENE032	0.0809	3.527e-05	5.3045	1.1825
GENE033	4.2464	2.7e-07	1.7797	-0.4396
GENE034	0.0272	4.2e-07	1.3702	-0.3447
GENE035	0.0596	0.00017205	-0.0902	1.6887
GENE036	-0.9401	0.0	2.1555	2.771
GENE037	-1.4902	2.08e-06	1.9291	-2.4351
GENE038	-0.3569	6.02e-06	-3.5989	-0.4947
GENE039	1.5819	1.532e-05	-3.9642	-1.1915
GENE040	-1.6655	0.26865682	-2.1849	1.3078
GENE041	-1.3176	0.00675714	4.3174	1.6541
GENE042	-0.0331	0.0	1.1681	-2.7647
GENE043	2.3251	5e-08	-1.0431	0.8028
GENE044	-0.4913	0.37854779	2.856	-2.6268
GENE045	0.8394	7e-08	3.1831	1.846
GENE046	-1.478	0.29003401	-1.6168	2.1675
GENE047	-2.6468	0.0	5.5789	2.5311
GENE048	0.1355	0.42412375	-0.2033	0.9143
GENE049	-1.0481	1e-08	-0.2058	0.0678
