Protein IDs	Gene names	Protein names	Number of proteins	Peptides	LFQ intensity S1_rep1	LFQ intensity S1_rep2	LFQ intensity S2_rep1	LFQ intensity S2_rep2	Only identified by site	Reverse	Potential contaminant
P00000	GENE0000	Protein GENE0000	1	19	4723164	1551500	6994352	1978778			
P00001	GENE0001	Protein GENE0001	1	19	519839	3315623	815452	5657068			
P00002	GENE0002	Protein GENE0002	1	8	2244508	7221115	3126580	11240096			
P00003	GENE0003	Protein GENE0003	1	19	19259008	31218787	30530103	39735957			
P00004	GENE0004	Protein GENE0004	1	4	705426	58811853	1013514	92622026			
P00005	GENE0005	Protein GENE0005	1	10	719495	1813990	1084617	2845814			
P00006	GENE0006	Protein GENE0006	1	4	1586906	850483	2202320	1101706			
P00007	GENE0007	Protein GENE0007	1	19	4587332	6614478	5371296	11979967			
P00008	GENE0008	Protein GENE0008	1	12	1123801	2489621	1872165	3483558			
P00009	GENE0009	Protein GENE0009	1	19	746595	52257006	1158182	81746825			
P00010	GENE0010	Protein GENE0010	1	6	4859587	2100745	2644086	1856455			
P00011	GENE0011	Protein GENE0011	1	14	3358366	15828340	2275667	11268439			
P00012	GENE0012	Protein GENE0012	1	5	5198377	780910	4152837	517423			
P00013	GENE0013	Protein GENE0013	1	16	8974134	614641	6794731	459887			
P00014	GENE0014	Protein GENE0014	1	8	12855039	219034	9581978	138016			
P00015	GENE0015	Protein GENE0015	1	4	5166727	11211783	4309990	8421318			
P00016	GENE0016	Protein GENE0016	1	10	410713	7165839	251614	5114113			
P00017	GENE0017	Protein GENE0017	1	13	3917702	27181221	2678547	17158636			
P00018	GENE0018	Protein GENE0018	1	9	2349752	929203	1529641	724162			
P00019	GENE0019	Protein GENE0019	1	12	4111220	5770636	2944140	4081385			
P00020	GENE0020	Protein GENE0020	1	20	767402	5685242	888490	6668778			
P00021	GENE0021	Protein GENE0021	1	13	4235735	2907213	4751089	3145413			
P00022	GENE0022	Protein GENE0022	1	14	2260338	19869568	2362720	19779728			
P00023	GENE0023	Protein GENE0023	1	7	62147764	942455	58820457	930747			
P00024	GENE0024	Protein GENE0024	1	3	1529378	23113084	1653888	20877364			
P00025	GENE0025	Protein GENE0025	1	14	7665228	7682683	6934397	8171028			
P00026	GENE0026	Protein GENE0026	1	11	11293119	399665	13066222	368442			
P00027	GENE0027	Protein GENE0027	1	20	31513	6356333	29113	7957958			
P00028	GENE0028	Protein GENE0028	1	18	6236932	1972930	4852131	2037273			
P00029	GENE0029	Protein GENE0029	1	20	867087	6941048	871155	7290319			
P00030	GENE0030	Protein GENE0030	1	10	653053	5548034	584344	5209365			
P00031	GENE0031	Protein GENE0031	1	12	223801	1074201	214871	994237			
P00032	GENE0032	Protein GENE0032	1	4	3914149	3976829	4158303	4249299			
P00033	GENE0033	Protein GENE0033	1	2	15371126	12594821	17603311	12447787			
P00034	GENE0034	Protein GENE0034	1	6	8622038	12272731	9714612	10981433			
P00035	GENE0035	Protein GENE0035	1	17	742341	6603671	703696	6217480			
P00036	GENE0036	Protein GENE0036	1	6	1997142	1965936	1906894	1930176			
P00037	GENE0037	Protein GENE0037	1	3	6644313	4194273	7041428	4452780			
P00038	GENE0038	Protein GENE0038	1	15	11989664	1593785	12457899	1268788			
P00039	GENE0039	Protein GENE0039	1	15	13734695	794891	15075319	958069			
P00040	GENE0040	Protein GENE0040	1	9	9729146	7490326	11065438	6424238			
P00041	GENE0041	Protein GENE0041	1	10	378618	11180007	358170	10228145			
P00042	GENE0042	Protein GENE0042	1	7	669745	15153272	802789	17818624			
P00043	GENE0043	Protein GENE0043	1	8	509257	2320422	536236	1988875			
P00044	GENE0044	Protein GENE0044	1	11	2245220	6143969	2074862	7241701			
P00045	GENE0045	Protein GENE0045	1	14	3453926	746242	3241542	729912			
P00046	GENE0046	Protein GENE0046	1	16	5001382	1249433	4362201	1161668			
P00047	GENE0047	Protein GENE0047	1	4	2059926	3758021	2385449	3604873			
P00048	GENE0048	Protein GENE0048	1	11	624574	4585936	668212	4486259			
P00049	GENE0049	Protein GENE0049	1	20	1349490	2135479	1474742	2233085			
P00050	GENE0050	Protein GENE0050	1	5	245351	3207047	243910	3178949			
P00051	GENE0051	Protein GENE0051	1	5	8179747	42861078	7161162	44069961			
P00052	GENE0052	Protein GENE0052	1	18	1859506	446266886	2058291	407514836			
P00053	GENE0053	Protein GENE0053	1	9	431961	2770325	462412	2538715			
P00054	GENE0054	Protein GENE0054	1	11	10964314	13077035	11044018	14481765			
P00055	GENE0055	Protein GENE0055	1	15	1168559	761962	1215055	805276			
P00056	GENE0056	Protein GENE0056	1	20	1943788	2487388	1574155	2746869			
P00057	GENE0057	Protein GENE0057	1	15	32885795	1161738	31902548	1271898			
P00058	GENE0058	Protein GENE0058	1	14	4735653	3135630	4267599	3163664			
P00059	GENE0059	Protein GENE0059	1	4	121686233	8397733	106648047	7721675			
P00060	GENE0060	Protein GENE0060	1	12	5000308	2946770	4750249	3086723			
P00061	GENE0061	Protein GENE0061	1	3	101292	962614	84741	992303			
P00062	GENE0062	Protein GENE0062	1	2	19117239	16013476	20328713	15681012			
P00063	GENE0063	Protein GENE0063	1	10	4926042	3027286	5447614	2918121			
P00064	GENE0064	Protein GENE0064	1	11	7461593	9770049	8499618	10961245			
P00065	GENE0065	Protein GENE0065	1	9	729620	23071865	723294	22176621			
P00066	GENE0066	Protein GENE0066	1	18	31197172	9960472	28494155	10377366			
P00067	GENE0067	Protein GENE0067	1	6	2183595	2499986	2371818	2325275			
P00068	GENE0068	Protein GENE0068	1	17	1752196	16869312	1830078	14911045			
P00069	GENE0069	Protein GENE0069	1	10	1946042	4644235	1958905	5728518			
P00070	GENE0070	Protein GENE0070	1	12	11980263	2589412	11770765	2632477			
P00071	GENE0071	Protein GENE0071	1	10	1156442	10446975	1287718	9337806			
P00072	GENE0072	Protein GENE0072	1	9	4399538	1146328	3933570	1227255			
P00073	GENE0073	Protein GENE0073	1	9	13061697	2916613	13832667	3030555			
P00074	GENE0074	Protein GENE0074	1	12	992748	2823001	846085	3033839			
P00075	GENE0075	Protein GENE0075	1	19	1626450	1712207	1601034	1565530			
P00076	GENE0076	Protein GENE0076	1	5	156904	805043	158259	696761			
P00077	GENE0077	Protein GENE0077	1	3	11031480	1956990	10881837	1858694			
P00078	GENE0078	Protein GENE0078	1	17	5846980	21048550	6379348	19076356			
P00079	GENE0079	Protein GENE0079	1	4	3008401	16231162	3104018	15621133			
P00080	GENE0080	Protein GENE0080	1	11	2480692	4648105	2669567	5130076			
P00081	GENE0081	Protein GENE0081	1	18	790291	4222613	699997	3889725			
P00082	GENE0082	Protein GENE0082	1	3	113058	920508	99838	972124			
P00083	GENE0083	Protein GENE0083	1	4	9678526	365907	10008281	384771			
P00084	GENE0084	Protein GENE0084	1	11	733598	8197138	792809	8334758			
P00085	GENE0085	Protein GENE0085	1	15	8509833	23568307	7460136	18911175			
P00086	GENE0086	Protein GENE0086	1	11	910024	955534	930018	981650			
P00087	GENE0087	Protein GENE0087	1	14	13144795	22578918	12047077	22954619			
P00088	GENE0088	Protein GENE0088	1	12	31973681	3212745	35268480	3297439			
P00089	GENE0089	Protein GENE0089	1	2	4299338	383960	4665285	344714			
P00090	GENE0090	Protein GENE0090	1	17	11357973	340331732	11986851	381369175			
P00091	GENE0091	Protein GENE0091	1	15	31878208	2309693	33372726	2393250			
P00092	GENE0092	Protein GENE0092	1	14	6584207	4141060	6354741	4477358			
P00093	GENE0093	Protein GENE0093	1	3	2947731	3707023	2629316	3710814			
P00094	GENE0094	Protein GENE0094	1	9	601844	23176218	592061	22058729			
P00095	GENE0095	Protein GENE0095	1	5	7154250	394780	7371576	469585			
P00096	GENE0096	Protein GENE0096	1	10	2921447	17963754	2848877	15868532			
P00097	GENE0097	Protein GENE0097	1	18	2147408	2865921	2233252	3012935			
P00098	GENE0098	Protein GENE0098	1	2	6810502	13014396	6936572	12016926			
P00099	GENE0099	Protein GENE0099	1	19	1473765	3168246	1342125	3098269			
