month,icd10_chapter,admissions
2017-01,Chapter-I,1605
2017-02,Chapter-I,1617
2017-03,Chapter-I,1656
2017-04,Chapter-I,1676
2017-05,Chapter-I,1632
2017-06,Chapter-I,1599
2017-07,Chapter-I,1583
2017-08,Chapter-I,1555
2017-09,Chapter-I,1539
2017-10,Chapter-I,1522
2017-11,Chapter-I,1550
2017-12,Chapter-I,1583
2018-01,Chapter-I,1609
2018-02,Chapter-I,1652
2018-03,Chapter-I,1672
2018-04,Chapter-I,1659
2018-05,Chapter-I,1657
2018-06,Chapter-I,1619
2018-07,Chapter-I,1606
2018-08,Chapter-I,1573
2018-09,Chapter-I,1547
2018-10,Chapter-I,1529
2018-11,Chapter-I,1560
2018-12,Chapter-I,1575
2019-01,Chapter-I,1596
2019-02,Chapter-I,1623
2019-03,Chapter-I,1656
2019-04,Chapter-I,1668
2019-05,Chapter-I,1663
2019-06,Chapter-I,1643
2019-07,Chapter-I,1640
2019-08,Chapter-I,1588
2019-09,Chapter-I,1551
2019-10,Chapter-I,1530
2019-11,Chapter-I,1551
2019-12,Chapter-I,1589
2020-01,Chapter-I,1610
2020-02,Chapter-I,1623
2020-03,Chapter-I,1385
2020-04,Chapter-I,1410
2020-05,Chapter-I,1413
2020-06,Chapter-I,1645
2020-07,Chapter-I,1599
2020-08,Chapter-I,1573
2020-09,Chapter-I,1551
2020-10,Chapter-I,1545
2020-11,Chapter-I,1564
2020-12,Chapter-I,1583
2021-01,Chapter-I,1618
2021-02,Chapter-I,1642
2021-03,Chapter-I,1663
2021-04,Chapter-I,1676
2021-05,Chapter-I,1640
2021-06,Chapter-I,1618
2021-07,Chapter-I,1586
2021-08,Chapter-I,1552
2021-09,Chapter-I,1533
2021-10,Chapter-I,1553
2021-11,Chapter-I,1543
2021-12,Chapter-I,1582
2022-01,Chapter-I,1582
2022-02,Chapter-I,1614
2022-03,Chapter-I,1645
2022-04,Chapter-I,1664
2022-05,Chapter-I,1665
2022-06,Chapter-I,1650
2022-07,Chapter-I,1607
2022-08,Chapter-I,1567
2022-09,Chapter-I,1559
2022-10,Chapter-I,1544
2022-11,Chapter-I,1531
2022-12,Chapter-I,1543
2023-01,Chapter-I,1570
2023-02,Chapter-I,1619
2023-03,Chapter-I,1648
2023-04,Chapter-I,1668
2023-05,Chapter-I,1650
2023-06,Chapter-I,1631
2023-07,Chapter-I,1610
2023-08,Chapter-I,1571
2023-09,Chapter-I,1556
2023-10,Chapter-I,1535
2023-11,Chapter-I,1539
2023-12,Chapter-I,1559
2024-01,Chapter-I,1576
2024-02,Chapter-I,1623
2024-03,Chapter-I,1640
2024-04,Chapter-I,1653
2024-05,Chapter-I,1655
2024-06,Chapter-I,1639
2024-07,Chapter-I,1615
2024-08,Chapter-I,1578
2024-09,Chapter-I,1546
2024-10,Chapter-I,1538
2024-11,Chapter-I,1521
2024-12,Chapter-I,1532
2017-01,Chapter-II,1580
2017-02,Chapter-II,1603
2017-03,Chapter-II,1642
2017-04,Chapter-II,1640
2017-05,Chapter-II,1634
2017-06,Chapter-II,1639
2017-07,Chapter-II,1600
2017-08,Chapter-II,1581
2017-09,Chapter-II,1541
2017-10,Chapter-II,1533
2017-11,Chapter-II,1529
2017-12,Chapter-II,1554
2018-01,Chapter-II,1603
2018-02,Chapter-II,1606
2018-03,Chapter-II,1644
2018-04,Chapter-II,1659
2018-05,Chapter-II,1642
2018-06,Chapter-II,1603
2018-07,Chapter-II,1585
2018-08,Chapter-II,1553
2018-09,Chapter-II,1541
2018-10,Chapter-II,1536
2018-11,Chapter-II,1570
2018-12,Chapter-II,1579
2019-01,Chapter-II,1590
2019-02,Chapter-II,1627
2019-03,Chapter-II,1653
2019-04,Chapter-II,1681
2019-05,Chapter-II,1677
2019-06,Chapter-II,1651
2019-07,Chapter-II,1634
2019-08,Chapter-II,1573
2019-09,Chapter-II,1540
2019-10,Chapter-II,1521
