chrom	pos	pvalue	gene
5	43090850	2.299e-05	GENE0
12	73968167	0.0	GENE1
5	25679023	8.154e-05	GENE2
3	140989370	0.00308718	GENE3
8	102350565	1.1e-07	GENE4
3	34590228	2.896e-05	GENE5
1	200483712	0.00020895	GENE6
19	57871875	0.0	GENE7
14	108482206	5e-08	GENE8
5	167173295	0.46662194	GENE9
6	16031533	3.904e-05	GENE10
16	59762242	3.811e-05	GENE11
Y	106304803	0.00665632	GENE12
5	50309921	0.0	GENE13
Y	221789494	1.3e-07	GENE14
17	201251705	0.21914951	GENE15
X	151134416	0.0	GENE16
10	163425839	3.4e-07	GENE17
16	226945611	6e-08	GENE18
14	21725697	8.7e-07	GENE19
Y	220193342	1e-08	GENE20
11	186871848	0.00277484	GENE21
15	126744856	0.00152867	GENE22
21	129155453	0.43764539	GENE23
X	85071208	0.00090428	GENE24
1	176207808	0.0	GENE25
10	173306259	1.08e-06	GENE26
4	109743169	0.00218962	GENE27
5	223064218	0.0	GENE28
2	103131655	0.0098672	GENE29
21	45244703	0.0	GENE30
2	15675811	6.502e-05	GENE31
20	216644741	6.1e-07	GENE32
6	100717902	6.382e-05	GENE33
17	174583035	0.02723129	GENE34
6	114876197	7e-08	GENE35
1	53272595	0.0	GENE36
13	73455980	3.84e-06	GENE37
14	30098641	0.05801207	GENE38
22	29024678	0.0	GENE39
15	21886581	0.00129652	GENE40
18	98361976	0.05696138	GENE41
X	162917627	0.00986308	GENE42
9	210056797	0.00029976	GENE43
19	228259947	0.00408672	GENE44
17	91052488	0.0	GENE45
10	8529309	0.34698193	GENE46
X	65298322	1.292e-05	GENE47
8	76754346	0.00163808	GENE48
14	44690663	0.00028107	GENE49
