peak	peak_start	tss	gene	score	distance	cluster
chr1_0_500	0	11956	GENE000	0.303231	136072	1
chr1_500_1000	500	72070	GENE001	0.988382	85378	5
chr1_1000_1500	1000	60387	GENE002	0.525301	304954	2
chr1_1500_2000	1500	91244	GENE003	0.335417	30676	0
chr1_2000_2500	2000	91022	GENE004	0.933153	76617	2
chr1_2500_3000	2500	14952	GENE005	0.590679	167604	4
chr1_3000_3500	3000	71081	GENE006	0.375772	241719	5
chr1_3500_4000	3500	56197	GENE007	0.006619	460491	7
chr1_4000_4500	4000	30486	GENE008	0.638806	363479	6
chr1_4500_5000	4500	69786	GENE009	0.273329	71039	5
chr1_5000_5500	5000	47649	GENE010	0.174893	187372	2
chr1_5500_6000	5500	85558	GENE011	0.46212	85620	1
chr1_6000_6500	6000	86308	GENE012	0.567916	27728	3
chr1_6500_7000	6500	74550	GENE013	0.914872	142957	2
chr1_7000_7500	7000	15346	GENE014	0.199258	189353	3
chr1_7500_8000	7500	95894	GENE015	0.832284	219946	3
chr1_8000_8500	8000	56325	GENE016	0.289463	333576	1
chr1_8500_9000	8500	61608	GENE017	0.490586	478205	6
chr1_9000_9500	9000	29391	GENE018	0.822799	186638	7
chr1_9500_10000	9500	104342	GENE019	0.301993	25540	1
chr1_10000_10500	10000	67051	GENE000	0.585208	151968	1
chr1_10500_11000	10500	59948	GENE001	0.4941	152915	2
chr1_11000_11500	11000	62608	GENE002	0.739856	277669	0
chr1_11500_12000	11500	61367	GENE003	0.22452	334991	7
chr1_12000_12500	12000	14597	GENE004	0.79122	490899	5
chr1_12500_13000	12500	50809	GENE005	0.154024	40279	4
chr1_13000_13500	13000	59209	GENE006	0.300169	269414	5
chr1_13500_14000	13500	60552	GENE007	0.640555	101614	2
chr1_14000_14500	14000	55381	GENE008	0.636561	401836	7
chr1_14500_15000	14500	73902	GENE009	0.124177	329268	5
chr1_15000_15500	15000	89535	GENE010	0.665913	96074	2
chr1_15500_16000	15500	27981	GENE011	0.287689	400917	4
chr1_16000_16500	16000	45271	GENE012	0.179372	49549	0
chr1_16500_17000	16500	112901	GENE013	0.906793	313923	1
chr1_17000_17500	17000	76224	GENE014	0.644786	394594	3
chr1_17500_18000	17500	115693	GENE015	0.028443	87627	2
chr1_18000_18500	18000	73474	GENE016	0.764718	285061	2
chr1_18500_19000	18500	77499	GENE017	0.49305	169138	3
chr1_19000_19500	19000	57831	GENE018	0.970625	457411	4
chr1_19500_20000	19500	41968	GENE019	0.598891	165785	2
chr1_20000_20500	20000	116420	GENE000	0.36176	433492	3
chr1_20500_21000	20500	77052	GENE001	0.480486	443020	2
chr1_21000_21500	21000	117499	GENE002	0.436069	359120	1
chr1_21500_22000	21500	76789	GENE003	0.257912	419366	6
chr1_22000_22500	22000	41293	GENE004	0.685913	157848	1
chr1_22500_23000	22500	100462	GENE005	0.974259	142322	1
chr1_23000_23500	23000	102372	GENE006	0.818281	359369	0
chr1_23500_24000	23500	35782	GENE007	0.373202	365935	7
chr1_24000_24500	24000	43827	GENE008	0.732957	360891	6
chr1_24500_25000	24500	52734	GENE009	0.017545	190066	0
