chrom	pos	depth
chr1	0	36
chr1	100	15
chr1	200	90
chr1	300	19
chr1	400	64
chr1	500	20
chr1	600	27
chr1	700	67
chr1	800	81
chr1	900	3
chr1	1000	38
chr1	1100	54
chr1	1200	88
chr1	1300	70
chr1	1400	17
chr1	1500	61
chr1	1600	45
chr1	1700	54
chr1	1800	57
chr1	1900	95
chr1	2000	83
chr1	2100	3
chr1	2200	38
chr1	2300	25
chr1	2400	9
chr1	2500	3
chr1	2600	30
chr1	2700	67
chr1	2800	83
chr1	2900	43
chr1	3000	53
chr1	3100	75
chr1	3200	44
chr1	3300	84
chr1	3400	83
chr1	3500	42
chr1	3600	63
chr1	3700	76
chr1	3800	86
chr1	3900	90
chr1	4000	68
chr1	4100	71
chr1	4200	57
chr1	4300	59
chr1	4400	39
chr1	4500	73
chr1	4600	17
chr1	4700	40
chr1	4800	22
chr1	4900	34
