chrom	pos	pvalue	gene
4	94519068	9.063e-05	GENE0
17	235988981	0.00020062	GENE1
14	28896501	0.0	GENE2
5	73771047	0.22176839	GENE3
1	246949786	0.1330113	GENE4
8	135016610	6.2e-07	GENE5
1	178632254	2.744e-05	GENE6
8	100082881	2.156e-05	GENE7
14	72243031	7.53e-06	GENE8
13	218625835	2.035e-05	GENE9
5	244466839	2e-08	GENE10
12	191939932	0.0	GENE11
21	215394980	0.00119596	GENE12
10	21500279	1.647e-05	GENE13
8	212756954	0.00487828	GENE14
22	1584857	0.01075949	GENE15
13	232314583	1e-08	GENE16
22	40901036	0.0	GENE17
X	209784812	3.8e-07	GENE18
4	177054500	1e-08	GENE19
16	40349709	0.02635673	GENE20
6	86968066	3.9e-07	GENE21
4	40669441	4.92e-06	GENE22
8	105850775	0.0	GENE23
4	120908880	0.0	GENE24
10	194634160	0.10531327	GENE25
12	214902991	3.7e-07	GENE26
3	211868422	0.02560698	GENE27
20	129428114	0.00511216	GENE28
11	219680881	0.0	GENE29
4	19069366	3.61e-06	GENE30
12	31377238	0.01857796	GENE31
3	156113516	2.883e-05	GENE32
2	115743582	0.16606706	GENE33
20	196074120	1.47e-06	GENE34
5	75752871	1e-08	GENE35
6	39833973	2e-08	GENE36
14	25279186	0.00248459	GENE37
17	87718989	0.0	GENE38
11	35235117	0.00077309	GENE39
20	49820983	0.0	GENE40
6	207033718	0.00180929	GENE41
22	104352321	0.00077914	GENE42
14	95652692	1.6e-06	GENE43
5	86715676	0.0	GENE44
22	133662541	0.0	GENE45
22	114771555	5.727e-05	GENE46
10	130194911	5.26e-06	GENE47
20	187138737	7.583e-05	GENE48
10	112117339	0.0	GENE49
