chrom	pos	depth
chr1	0	88
chr1	100	69
chr1	200	97
chr1	300	35
chr1	400	99
chr1	500	83
chr1	600	44
chr1	700	15
chr1	800	38
chr1	900	56
chr1	1000	21
chr1	1100	59
chr1	1200	1
chr1	1300	93
chr1	1400	93
chr1	1500	34
chr1	1600	65
chr1	1700	98
chr1	1800	23
chr1	1900	65
chr1	2000	14
chr1	2100	81
chr1	2200	39
chr1	2300	82
chr1	2400	65
chr1	2500	78
chr1	2600	26
chr1	2700	20
chr1	2800	48
chr1	2900	98
chr1	3000	21
chr1	3100	70
chr1	3200	100
chr1	3300	68
chr1	3400	1
chr1	3500	77
chr1	3600	42
chr1	3700	63
chr1	3800	3
chr1	3900	15
chr1	4000	47
chr1	4100	40
chr1	4200	31
chr1	4300	8
chr1	4400	31
chr1	4500	73
chr1	4600	11
chr1	4700	11
chr1	4800	94
chr1	4900	63
