peak	feature_class	nearest_gene	distance_to_tss
chr1:100000-100250	UTR	GENE000	-25682
chr1:100700-100950	intron	GENE001	66318
chr1:101400-101650	UTR	GENE002	-45166
chr1:102100-102350	UTR	GENE003	46887
chr1:102800-103050	exon	GENE004	-34310
chr1:103500-103750	intergenic	GENE005	-111450
chr1:104200-104450	exon	GENE006	96934
chr1:104900-105150	intron	GENE007	103969
chr1:105600-105850	promoter	GENE008	-121511
chr1:106300-106550	exon	GENE009	78518
chr1:107000-107250	promoter	GENE010	-74010
chr1:107700-107950	exon	GENE011	-36668
chr1:108400-108650	intergenic	GENE012	88546
chr1:109100-109350	intergenic	GENE013	-56645
chr1:109800-110050	exon	GENE014	53072
chr1:110500-110750	exon	GENE015	45813
chr1:111200-111450	promoter	GENE016	-78485
chr1:111900-112150	promoter	GENE017	89987
chr1:112600-112850	intron	GENE018	-48207
chr1:113300-113550	intron	GENE019	38004
chr1:114000-114250	exon	GENE020	-8603
chr1:114700-114950	intergenic	GENE021	-43984
chr1:115400-115650	intron	GENE022	26103
chr1:116100-116350	intron	GENE023	-83305
chr1:116800-117050	UTR	GENE024	-133174
chr1:117500-117750	intergenic	GENE025	148144
chr1:118200-118450	promoter	GENE026	-118726
chr1:118900-119150	promoter	GENE027	-2883
chr1:119600-119850	promoter	GENE028	-78434
chr1:120300-120550	UTR	GENE029	-91747
chr1:121000-121250	exon	GENE030	94074
chr1:121700-121950	exon	GENE031	90427
chr1:122400-122650	promoter	GENE032	69269
chr1:123100-123350	intergenic	GENE033	-60242
chr1:123800-124050	UTR	GENE034	30132
chr1:124500-124750	promoter	GENE035	-34734
chr1:125200-125450	promoter	GENE036	4749
chr1:125900-126150	exon	GENE037	-67798
chr1:126600-126850	intergenic	GENE038	-60905
chr1:127300-127550	UTR	GENE039	139803
chr1:128000-128250	UTR	GENE040	-29570
chr1:128700-128950	intron	GENE041	-104663
chr1:129400-129650	intergenic	GENE042	65847
chr1:130100-130350	exon	GENE043	123557
chr1:130800-131050	intron	GENE044	106488
chr1:131500-131750	exon	GENE045	-36522
chr1:132200-132450	promoter	GENE046	98244
chr1:132900-133150	intron	GENE047	92621
chr1:133600-133850	exon	GENE048	-3635
chr1:134300-134550	promoter	GENE049	-142396
