chrom	start	end	score	coverage
4	45062134	168813530	53.106366	310.540568
Y	132930552	92607105	42.710589	485.382352
2	116610082	103160488	34.731649	991.293106
3	37101412	27132509	7.666159	422.019129
16	84875255	115931669	82.373895	905.655623
22	193125480	93650107	50.463953	201.990509
1	105442999	96930247	29.990902	272.711963
6	131850184	111577298	66.34567	29.141868
13	206087679	95294241	31.335297	789.66984
20	30362005	16154107	41.431425	277.771992
22	153700911	178502023	25.126479	550.706112
11	182200531	66561358	51.536923	644.293821
5	132682009	67469824	67.156025	42.232372
10	178188496	63981681	54.756249	722.473998
20	149655233	174968850	88.089657	782.233745
20	184978726	84779938	62.784394	55.327273
4	145792041	160057221	51.622412	896.505476
3	154601514	23802217	18.653894	313.904774
22	127115911	245381683	49.920363	297.979175
17	128751401	185681762	66.080622	63.581697
16	151929287	18583702	82.3908	955.088477
15	230338227	234255696	93.810299	896.773244
7	42959403	82851149	26.793595	671.672073
10	137012232	31729867	63.792636	885.719352
22	15961821	91622522	80.893348	396.895051
16	106061563	46576590	85.277465	839.810474
16	71703479	6293237	90.683583	842.750267
17	133792638	145531359	93.463593	236.041152
9	159657464	88541861	72.661507	570.973379
18	102414298	11034166	5.988166	500.248529
11	166608483	124725064	20.064803	120.642614
18	182593307	177568391	46.248669	664.217136
18	95694303	232759430	24.037395	580.419741
1	206747928	114408016	74.643352	775.115862
2	77353120	153485523	76.553008	525.260137
14	87028943	139181534	84.4122	496.451101
4	17488373	242970925	41.026026	90.248788
13	8555648	114059045	86.018595	599.821315
15	159501317	72571583	91.11378	773.190884
11	13111393	6476981	63.392749	313.410329
13	35412904	187821499	84.596698	832.334165
15	225662800	127085934	26.693476	737.236354
15	99357460	158838443	28.70446	805.841608
2	94650898	6969344	16.058431	743.958974
2	218312842	85964980	68.68549	935.500096
6	200194444	102398952	23.612983	218.008385
18	157757443	154103772	23.848342	106.814013
22	8220870	105770807	14.996225	214.108638
10	206405204	87550587	2.770417	274.547334
X	240268034	154691413	79.704476	408.375556
