peak	log2fc	pvalue	adj_pvalue	baseMean
chr1:100000-100250	-0.3634	0.0	0.00067402	1346.431354
chr1:100900-101150	-1.0312	2.544e-05	3e-07	281.616408
chr1:101800-102050	-0.6018	0.01131717	0.0	2052.149196
chr1:102700-102950	-2.0977	1e-08	0.04105519	2539.653233
chr1:103600-103850	0.8122	0.00517025	3.1e-07	972.371561
chr1:104500-104750	0.0268	3.98e-06	0.76153684	1055.327378
chr1:105400-105650	-0.1413	0.00076622	5e-08	213.518453
chr1:106300-106550	3.7938	0.00017955	0.50381381	1635.670656
chr1:107200-107450	-3.0735	0.01081003	0.24224418	2676.168413
chr1:108100-108350	-0.9732	0.0	0.0	2557.058911
chr1:109000-109250	-0.9563	0.00483376	0.00020482	2141.19113
chr1:109900-110150	-0.1686	3.4e-06	4e-07	2783.426881
chr1:110800-111050	-0.4015	8e-08	0.00852806	1920.346067
chr1:111700-111950	1.6448	0.0	0.00053231	2385.215224
chr1:112600-112850	1.9937	1e-08	0.27077903	1536.092121
chr1:113500-113750	0.6168	0.0	0.0	381.660116
chr1:114400-114650	0.602	0.17392928	0.00010351	618.921506
chr1:115300-115550	-2.1271	1.266e-05	0.00543236	433.853079
chr1:116200-116450	3.3298	0.61989017	0.0	2375.311721
chr1:117100-117350	2.785	2.377e-05	0.0	98.3264
chr1:118000-118250	-0.2989	3e-08	0.00509685	1670.983883
chr1:118900-119150	-0.2079	0.00286801	4.2e-07	1119.355273
chr1:119800-120050	-1.4817	1e-08	6.2e-07	2414.911944
chr1:120700-120950	-0.1436	3.4e-07	4.128e-05	1663.907863
chr1:121600-121850	1.3131	0.00537442	9.782e-05	1843.606121
chr1:122500-122750	1.6619	0.03727374	0.0005281	276.922135
chr1:123400-123650	-1.1141	1.9e-07	0.24737337	941.686338
chr1:124300-124550	-0.9799	0.0	4.8e-07	2998.793231
chr1:125200-125450	-2.5585	4.4e-07	0.00358539	2162.231586
chr1:126100-126350	1.4793	0.06396119	4.806e-05	1586.573051
chr1:127000-127250	4.6565	0.00228426	1.744e-05	2312.11036
chr1:127900-128150	2.7782	0.07193019	8.7e-07	2473.551411
chr1:128800-129050	2.2264	6.7e-07	0.00026956	239.777124
chr1:129700-129950	1.0083	0.43637864	3e-08	2917.6916
chr1:130600-130850	-5.9608	8.17e-06	0.0	1934.168996
chr1:131500-131750	-0.2746	8.42e-06	0.00191947	1360.923997
chr1:132400-132650	-1.876	0.14147302	8.72e-06	2046.724792
chr1:133300-133550	-0.6641	1.383e-05	6.8e-07	1046.654046
chr1:134200-134450	-2.7922	0.00853819	3.635e-05	2636.321252
chr1:135100-135350	0.5302	0.00157799	4e-08	2345.183528
chr1:136000-136250	1.519	0.0	4e-08	1926.58591
chr1:136900-137150	-0.1818	9.211e-05	2.62e-06	562.250147
chr1:137800-138050	3.5071	0.01384136	0.73116368	2899.46855
chr1:138700-138950	0.3592	2.513e-05	7e-08	1309.202494
chr1:139600-139850	-1.8234	1.5e-07	0.11834263	2733.922567
chr1:140500-140750	2.6902	0.0	7.29e-06	185.130293
chr1:141400-141650	-2.3798	0.00034922	0.0	390.00014
chr1:142300-142550	-2.4792	1.1e-07	0.02773194	475.986091
chr1:143200-143450	-0.1671	9.246e-05	2.99e-06	510.678098
chr1:144100-144350	-1.7905	1.65e-06	0.07887192	981.529038
